liquidityRate_avg,variableBorrowRate_avg,utilizationRate_avg,stableBorrowRate_avg,x/year,x/month,x/date,x/hours
0.0006097560975655025,0.002032521235044761,0.6747967475609756,0,2020,11,2,12
0,0,1,0,2020,11,2,18
0,0,1,0,2020,11,3,0
2.439118928882304,2.715066168352795,0.9083333333333334,0,2020,11,3,6
0.6707602553710315,0.7509136904023651,0.22502388180555555,0,2020,11,3,12
0.00007650436074264001,0.0001956736492332,0.17336292333333334,0,2020,11,3,18
0.00039345053497632,0.0009935318313072,0.64000159,0,2020,11,4,0
0.00039345053497632,0.0009935318313072,0.64000159,0,2020,11,4,6
0.007040336921544,0.0123438420509688,0.7078034938888889,0,2020,11,4,12
0.01127017371299616,0.019566766736208,0.75095016,0,2020,11,4,18
0.01127017371299616,0.019566766736208,0.75095016,0,2020,11,5,0
0.01127017371299616,0.019566766736208,0.75095016,0,2020,11,5,6
0.1314306566789482,0.19448241834205704,0.7651905165277778,0,2020,11,5,12
0.01275122450778924,0.01863088144680048,0.7526156566666666,0,2020,11,5,18
0.00034289148429504,0.00046979544292272,0.75094909,0,2020,11,6,0
0.00034289148429504,0.00046979544292272,0.75094909,0,2020,11,6,6
0.0116450477289618,0.017204037474708236,0.7662259511111111,0,2020,11,6,12
0.0373317664668408,0.05523640572876624,0.80094609,0,2020,11,6,18
0.0373317664668408,0.05523640572876624,0.80094609,0,2020,11,7,0
0.12526776834895692,0.17286733898047488,0.8162283923611111,0,2020,11,7,6
0,0,0.82094494,0,2020,11,7,12
0.19554868196566438,0.2646620254605846,0.8210775080555555,0,2020,11,7,18
0.04981160593116774,0.06738473788017445,0.8212076762499999,0,2020,11,8,0
0.09904000616824572,0.13466080527321014,0.803425641388889,0,2020,11,8,6
0.01692857169213984,0.03066757496668224,0.6131544,0,2020,11,8,12
0.00397403379888294,0.00720184869598824,0.6329794945833334,0,2020,11,8,18
0.024535742155872477,0.0425530359621522,0.6647777549999999,0,2020,11,9,0
0.007558738463139479,0.01228347179614404,0.7809865024999999,0,2020,11,9,6
0.025477465275194403,0.03646516234082184,0.7868488483333334,0,2020,11,9,12
0.0568184367569715,0.08059846046549436,0.7818821358333333,0,2020,11,9,18
0.036656708709888,0.05199439122792576,0.77567374,0,2020,11,10,0
0.0045857989493261996,0.00689912385408282,0.10598604791666667,0,2020,11,10,6
5.431687056e-7,0.000057950874610200004,0.014558566111111108,0,2020,11,10,12
0.00020721124246548,0.00369351625607808,0.07033328583333333,0,2020,11,10,18
0.00001763329101264,0.00027681981214176,0.07125643,0,2020,11,11,0
0.00032694148235213997,0.00525377188908126,0.05508725263888889,0,2020,11,11,6
0.000005441079528,0.00010654818302592,0.08663056,0,2020,11,11,12
0.0006077634672930599,0.007716826188259741,0.09124951097222221,0,2020,11,11,18
0.00039850894560768,0.0048104125226493,0.09344718027777778,0,2020,11,12,0
0.0005921378012097,0.0058588995925571395,0.16140007291666666,0,2020,11,12,6
0.00373958567809248,0.016894824099812942,0.2545227391666667,0,2020,11,12,12
0.00444395126677482,0.0189791082384459,0.28670942388888887,0,2020,11,12,18
0.0062112775558679995,0.0172564418159118,0.4065150097222222,0,2020,11,13,0
0.01021508627133612,0.025387434907776122,0.4689203144444445,0,2020,11,13,6
0.0090374976504648,0.0191915415758964,0.5246328112499999,0,2020,11,13,12
0.01473185654847072,0.031000508230250398,0.5288826052777778,0,2020,11,13,18
0.01434694366442814,0.03009511516432968,0.5299989652777778,0,2020,11,14,0
0.00369958573719324,0.00772636738919976,0.5362172350000001,0,2020,11,14,6
0.0090830293209576,0.01878825877114032,0.53613388,0,2020,11,14,12
0.022272164202611397,0.046145242558544464,0.5369630790277777,0,2020,11,14,18
0.01666249802650236,0.03440311135020108,0.5404512902777777,0,2020,11,15,0
0.010600171289129039,0.021545231542386238,0.5467291770833334,0,2020,11,15,6
0.00862389921041184,0.01751819200127952,0.55551766,0,2020,11,15,12
0.01944687055564572,0.03861787717578618,0.5623082280555556,0,2020,11,15,18
0.007763149926008281,0.015302091988693981,0.5875324416666667,0,2020,11,16,0
0.02505745766424756,0.047133734974544456,0.5908718738888888,0,2020,11,16,6
0.0185488286957502,0.03460953438392364,0.598607027638889,0,2020,11,16,12
0.02150216339148792,0.03234712877939082,0.7573630531944444,0,2020,11,16,18
0.0273596778356229,0.039589500833496535,0.7680035577777777,0,2020,11,17,0
0.1075792969296864,0.14430718808820678,0.8103991231944445,0,2020,11,17,6
0.23424558700481024,0.301020474454568,0.8590280954166666,0,2020,11,17,12
0.07160870662894962,0.09684942905010757,0.8131287515277777,0,2020,11,17,18
0.0291634921764294,0.0411133119782664,0.7442159308333333,0,2020,11,18,0
0.02295807783939546,0.03673322290224144,0.6950894505555555,0,2020,11,18,6
0.026950548061626903,0.04277554057904892,0.701495733888889,0,2020,11,18,12
0.008517953665121042,0.01333144657418256,0.7101827694444444,0,2020,11,18,18
0.0155577947975451,0.024268561833986277,0.7112406666666666,0,2020,11,19,0
0.03956324086295184,0.061677983322942595,0.7138369193055555,0,2020,11,19,6
0.02696243125848762,0.04002274648813728,0.7574450884722222,0,2020,11,19,12
0.0514456880842278,0.07048500852388884,0.79656371,0,2020,11,19,18
0.03043127340580572,0.04201530324794808,0.7944962597222223,0,2020,11,20,0
0.07235034312921468,0.09769403822922403,0.8244208519444444,0,2020,11,20,6
0.18299640444393483,0.24498594815334096,0.8288446461111111,0,2020,11,20,12
0.13617398168410344,0.18249741304866504,0.8267562091666667,0,2020,11,20,18
0.057544529768739486,0.07884502380885475,0.8094787036111112,0,2020,11,21,0
