liquidityRate_avg,variableBorrowRate_avg,utilizationRate_avg,stableBorrowRate_avg,x/year,x/month,x/date,x/hours
0.02616755642215632,0.04579413035107536,0.70208078,0,2021,4,16,18
0.018588033277184217,0.032089385073198834,0.7194342759722222,0,2021,4,17,0
0.025367950508519338,0.042360131364065044,0.7352749801388889,0,2021,4,17,6
0.00921280181079804,0.01576911240091218,0.7191639166666666,0,2021,4,17,12
0.03544346806292238,0.06118342298061552,0.7069454881944445,0,2021,4,17,18
0.00672552207860754,0.01206416530654632,0.6852276488888889,0,2021,4,18,0
0.03273772088681136,0.058573659055011426,0.6870422043055555,0,2021,4,18,6
0.16481803193429614,0.23175180022234323,0.7837217136111111,0,2021,4,18,12
0.061329729815820064,0.09423733816733904,0.8010144023611111,0,2021,4,18,18
0.10901604936796559,0.1590187278303431,0.7547706106944445,0,2021,4,19,0
0.03231067959009912,0.029912884988310837,0.5739464163888889,0,2021,4,19,6
0.10908973000433922,0.03220104087662478,0.6007385445833333,0,2021,4,19,12
0.008774352845998019,0.01833284071422996,0.5737303559722222,0,2021,4,19,18
0.012612821976696659,0.03091007097171204,0.48392402916666666,0,2021,4,20,0
0.01048326050080314,0.025539109262532958,0.4934549025,0,2021,4,20,6
0.08210249397894263,0.11603371938132427,0.7083761173611111,0,2021,4,20,12
0.021404029924683057,0.03933200811465918,0.6035323105555556,0,2021,4,20,18
0.01156812503695956,0.02621877770386722,0.5191025405555556,0,2021,4,21,0
0.012035281779297,0.026345387674069798,0.5466126063888889,0,2021,4,21,6
0.0115663002429276,0.02602619460516036,0.50325272125,0,2021,4,21,12
0.01267174151403936,0.02265962956280454,0.45137159708333335,0,2021,4,21,18
0.008330079629647139,0.02383795287475368,0.4092400669444445,0,2021,4,22,0
0.005786420008019761,0.01840738151377188,0.37296173513888886,0,2021,4,22,6
0.0061355403931572,0.019312745979825602,0.3731364293055556,0,2021,4,22,12
0.00682168824990252,0.02005632468457782,0.38083176319444445,0,2021,4,22,18
0.00485988347545722,0.0153930040258164,0.3624591855555555,0,2021,4,23,0
0.00505267477644792,0.01470460562117748,0.26575884666666666,0,2021,4,23,6
0.0470301983621871,0.00888321303096306,0.18911582666666668,0,2021,4,23,12
0.0016540140901435201,0.00746281384329066,0.21670603944444444,0,2021,4,23,18
0.0026876997553932,0.012607337462088359,0.23927348416666666,0,2021,4,24,0
0.00289243105843698,0.012382576025107379,0.24505701958333337,0,2021,4,24,6
0.00285440513250636,0.013153759412539441,0.2570714458333333,0,2021,4,24,12
0.0037863969755103596,0.0162848605382142,0.2761366711111111,0,2021,4,24,18
0.0032017249222051803,0.01365446767528176,0.2774350298611111,0,2021,4,25,0
0.00322268427697488,0.01402951503731604,0.26867655777777777,0,2021,4,25,6
0.00300129649627032,0.01439384044248228,0.23145560791666664,0,2021,4,25,12
0.0032366606231223,0.0151416508559178,0.24605829097222223,0,2021,4,25,18
0.0028645889262072597,0.01303590758895738,0.25672118625,0,2021,4,26,0
0.0038689636099117197,0.0161223141152994,0.2813518313888889,0,2021,4,26,6
0.00558298665107586,0.01746540246793578,0.3387812036111111,0,2021,4,26,12
0.0047001516423382204,0.016736383800035823,0.33163140430555554,0,2021,4,26,18
0.00476393848492044,0.01657489080957636,0.33946491444444443,0,2021,4,27,0
0.0033343600584130203,0.01326934344287142,0.2937837656944444,0,2021,4,27,6
0.0047956584756987004,0.019319214030008282,0.292027845,0,2021,4,27,12
0.00406877600062002,0.015535904620404661,0.31270419236111113,0,2021,4,27,18
0.00384160314648348,0.01615856998848186,0.28318096416666666,0,2021,4,28,0
0.0033094404473477997,0.01438053693676692,0.27349703319444446,0,2021,4,28,6
0.00244090021736262,0.01195904064391368,0.23918501388888888,0,2021,4,28,12
0.0017437588224011402,0.01043958563310198,0.19375114847222222,0,2021,4,28,18
0.0015805796240180399,0.00919598967096384,0.1988259613888889,0,2021,4,29,0
